away	away	bullseye	bullseye	circle	circle	dino	dino	dots	dots	h_lines	h_lines	high_lines	high_lines	slant_down	slant_down	slant_up	slant_up	star	star	v_lines	v_lines	wide_lines	wide_lines	x_shape	x_shape
x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y
32.3311102266	61.411101248	51.2038911373	83.3397766053	55.9930301513	79.2772636977	55.3846	97.1795	51.1479167122	90.8674123313	53.366566866	90.2080300059	57.6132335477	83.9051707998	52.8720214902	97.3432226575	47.6952008891	95.2411869282	58.2136082599	91.881891513	50.4815081703	93.2227013657	65.8155400946	95.5883740582	38.3377571839	92.472719051
53.4214628807	26.1868803879	58.9744699018	85.499817612	50.0322537946	79.013071199	51.5385	96.0256	50.5171258092	89.1023945866	52.8019793617	90.0880645063	51.2743918205	82.8179829379	59.0141444945	93.5748748733	44.6099759113	93.075835032	58.1960536923	92.2149886482	50.2824056687	97.6099835723	65.6722651618	91.9334018119	35.7518707905	94.1167680276
63.92020226	30.8321939163	51.8720726696	85.8297376348	51.2884586593	82.4359398425	46.1538	94.4872	50.2074801993	85.4600473951	47.0541298828	90.458936026	50.7538984114	76.7541289533	56.3751090389	96.30514763	43.8563814822	94.0858717713	58.7182307185	90.310532087	50.1867033389	99.6946801425	39.002716451	92.26183816	32.7672179591	88.5182945794
70.2895057187	82.5336485877	48.1799307865	85.0451167372	51.1705368873	79.1652941091	42.8205	91.4103	50.0694819181	83.0576695262	42.4484337816	89.5077001153	37.0211840116	81.954469997	37.8391996844	94.359443503	41.5789293984	90.3035665387	57.27837287	89.9076067166	50.3269108629	90.0220534916	37.7953028026	93.5324553607	33.7296067755	88.622265789
34.1188302357	45.7345513203	41.6832004024	84.0179406019	44.3779145287	78.1646280036	40.7692	88.3333	50.5628463386	82.9378217764	42.7040363241	90.4426288607	42.8817550897	80.1847700514	39.8853734176	90.6346620817	49.1774185559	96.6105324538	58.082020494	92.0081450101	50.4562073315	89.9874101286	35.5139005857	89.5991901138	37.238249327	83.7249284144
67.6707164012	37.110947969	37.8904155015	82.5674929978	45.0102700721	77.8808631153	38.7179	84.8718	50.288527801	82.9752535659	32.3789386326	90.144142631	37.1557104777	84.9541114129	44.0774051326	84.1258533023	42.6522509813	90.5606397307	57.4894477748	88.0852855629	30.4648469308	82.0892320845	39.2194529062	83.5434818364	36.0271982243	82.0407806505
53.2591294055	97.4757710964	39.5489736947	80.812601774	48.559816719	78.7883706035	35.641	79.8718	25.5834750822	82.9148911324	32.5307027362	70.1573965085	38.7318581261	83.7893564281	31.4970254888	67.9125621568	30.1233318217	81.1442953304	28.088741319	63.5107944263	30.5015964737	82.3071263462	31.5882013862	77.0280524208	39.2392807768	79.2637238398
63.5149808671	25.1000785788	39.6495738769	82.6645338713	42.1422682922	76.8806345544	33.0769	77.5641	25.4835833896	82.929084979	33.3652644305	70.4593354392	31.0005254108	82.5794805962	25.9525965456	73.0331803541	31.915519986	79.7904134869	28.0854682136	63.5901969481	30.489569227	77.7298801366	32.6577782482	80.1138612983	39.7845249391	82.2605658962
67.9805388133	80.9571652197	34.7505970472	80.0110909897	41.0269715735	76.4095884613	28.9744	74.4872	25.4435257049	82.8742004973	32.6560991775	70.0510704992	25.9854996226	74.3493875478	36.4347239148	62.2940454639	27.8877193574	75.4455759934	28.087273053	63.1232828116	30.45024833	79.8348944011	31.6415992679	77.6108331874	35.1660293896	84.1564919839
