UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ADM_RATE,SAT_AVG,SAT_AVG_ALL,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,COMPL_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,DEP_RPY_3YR_RT_SUPP,IND_RPY_3YR_RT_SUPP,PELL_RPY_3YR_RT_SUPP,NOPELL_RPY_3YR_RT_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,NOTFIRSTGEN_RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,C200_4_POOLED_SUPP,ALIAS,C100_4,D100_4,C100_L4,D100_L4,TRANS_4,DTRANS_4,TRANS_L4,DTRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,CDR3_DENOM,CDR2_DENOM,
100654,100200,1002,Alabama A & M University,Normal,AL,0.5256,827,827,15000,33888,347.7895079,0.23704563,0.224215247,0.240168539,0.293929713,0.388579387,0.178800857,0.248036952,0.180522565,0.222324723,0.313397129,0.23948949,0.234449761,0.220156556,0.248081841,0,0.324519626,0,0.34531729,AAMU,0.1102,1044,0,0,0,1044,0,0,1,0.4831,0.5169,1895,0,
100663,105200,1052,University of Alabama at Birmingham,Birmingham,AL,0.8569,1107,1107,14382,21941.5,225.1836487,0.500673552,0.451189898,0.49025721,0.604316547,0.61082996,0.41283293,0.524182561,0.455204216,0.450693663,0.575265809,0.486091794,0.527249683,0.486136784,0.509007418,0,0.546104802,0,0.506030841,0,0.3258,1246,0,0,0.2408,1246,0,0,1,0.4169,0.5831,3937,0,
100690,2503400,25034,Amridge University,Montgomery,AL,0,0,0,9500,23370,239.8442162,0.290488432,0.242798354,0.325,-1,0.514285714,0.24137931,-1,0.282967033,0.25,0.454545455,0.227848101,0.388157895,0.29245283,0.288135593,0,-1,0,-1,Southern Christian University |Regions University,0,9,0,0,0,9,0,0,1,0.3986,0.6014,344,0,
100706,105500,1055,University of Alabama in Huntsville,Huntsville,AL,0.8203,1219,1219,15750,24097,247.3053521,0.527802295,0.431709647,0.5808,0.641414141,0.702085402,0.388403495,0.559515324,0.476245655,0.460832745,0.639575972,0.475343573,0.590864917,0.50886076,0.537940379,0,0.472406496,0,0.511591941,UAH |University of Alabama Huntsville,0.1516,765,0,0,0.3477,765,0,0,1,0.5733,0.4267,1513,0,
100724,100500,1005,Alabama State University,Montgomery,AL,0.5326,851,851,14362,33118.5,339.8921984,0.185517462,0.169366034,0.222849083,0.219123506,0.326797386,0.178234501,0.186656383,0.179924242,0.174764322,0.267217631,0.194910353,0.173850575,0.183941606,0.186750428,0,0.257404961,0,0.295631651,0,0.0752,1330,0,0,0,1330,0,0,1,0.3877,0.6123,2137,0,
100751,105100,1051,The University of Alabama,Tuscaloosa,AL,0.5105,1185,1185,17375,23750,243.7441222,0.572611653,0.446187364,0.569591951,0.682972367,0.704808807,0.434743202,0.604450826,0.423529412,0.48172043,0.683760684,0.567455947,0.578594249,0.524342746,0.593670348,0,0.66125081,0,0.685751914,0,0.3877,5009,0,0,0.2352,5009,0,0,1,0.458,0.542,5023,0,
100760,100700,1007,Central Alabama Community College,Alexander City,AL,0,0,0,6506,16127,165.5099562,0.266956522,0.184308842,0.390946502,0.615384615,0.483870968,0.254595588,0.33916849,0.219336219,0.208201893,0.547738694,0.26125,0.28,0.266666667,0.267441861,0.115155377,0,0.17005,0,0,0,0,0.1022,587,0,0,0.2232,587,2,0.3756,0.6244,656,0,
100812,100800,1008,Athens State University,Athens,AL,0,0,0,12750,18595,190.838819,0.476363636,0.390463918,0.515,0.635036496,0.551391863,0.37849162,0.644628099,0.428904429,0.422303474,0.582733813,0.457311919,0.524625268,0.466367713,0.488126649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3434,0.6566,929,0,
100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,0.8017,1009,1009,9500,21335,218.9591936,0.408952959,0.325520833,0.496307238,0.572104019,0.665749656,0.311157674,0.440645161,0.363720074,0.340732519,0.556354916,0.400108873,0.429286608,0.390538033,0.42169448,0,0.241364395,0,0.225663862,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery,0.0863,626,0,0,0.512,711,0,0,1,0.3648,0.6352,1867,0,
100858,100900,1009,Auburn University,Auburn,AL,0.8347,1215,1215,17500,21831,224.0495971,0.724353955,0.61431702,0.702398801,0.799168399,0.743902439,0.724035018,0.736714976,0.622743682,0.638087387,0.802386279,0.72233482,0.726240061,0.661073826,0.743615935,0,0.693542081,0,0.704757351,0,0.4225,3967,0,0,0.207,3967,0,0,1,0.5103,0.4897,3772,0,
