ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
17,827,33888,5,,,,,,,,
23,1107,21941.5,5,,,,,,,,
26,1219,24097,5,,,,,,,,
17,851,33118.5,5,,,,,,,,
25,1185,23750,5,,,,,,,,
20,1009,21335,5,,,,,,,,
26,1215,21831,5,,,,,,,,
26,1181,27000,5,,,,,,,,
21,1026,26230,5,,,,,,,,
21,1041,23000,5,,,,,,,,
20,990,24253,5,,,,,,,,
21,1055,11500,5,,,,,,,,
20,1014,27000,5,,,,,,,,
21,1070,23266,5,,,,,,,,
21,1029,21500,5,,,,,,,,
19,928,27250,5,,,,,,,,
24,1165,23000,5,,,,,,,,
22,1048,24711,5,,,,,,,,
23,1116,27000,5,,,,,,,,
18,930,24000,5,,,,,,,,
16,811,38218,5,,,,,,,,
21,1050,25000,5,,,,,,,,
20,978,33500,5,,,,,,,,
21,1054,23250,8,,,,,,,,
26,1145,20229,6,,,,,,,,
23,1073,24398.5,6,,,,,,,,
22,988,22500,6,,,,,,,,
22,1048,21736,5,,,,,,,,
24,1109,25000,5,,,,,,,,
25,1155,21500,5,,,,,,,,
18,886,27728.5,5,,,,,,,,
23,1088,19250,5,,,,,,,,
21,1010,17480,5,,,,,,,,
20,990,13393.5,5,,,,,,,,
22,1049,21500,5,,,,,,,,
21,985,21500,5,,,,,,,,
24,1131,26077,5,,,,,,,,
21,989,19586,5,,,,,,,,
27,1244,25500,5,,,,,,,,
24,1112,23250,5,,,,,,,,
22,1061,24200,5,,,,,,,,
20,930,8000.5,5,,,,,,,,
20,983,19000,5,,,,,,,,
21,989,17000,5,,,,,,,,
23,1037,22500,8,,,,,,,,
24,1122,24375,8,,,,,,,,
21,976,27000,8,,,,,,,,
36,1545,11812.5,8,,,,,,,,
24,1109,23000,8,,,,,,,,
29,1234,19166,8,,,,,,,,
19,884,17500,8,,,,,,,,
25,1074,18500,8,,,,,,,,
21,996,16500,8,,,,,,,,
20,910,15993.5,8,,,,,,,,
22,1021,14944,8,,,,,,,,
23,1054,15446,8,,,,,,,,
19,871,13645,8,,,,,,,,
20,914,15000,8,,,,,,,,
21,937,16500,8,,,,,,,,
31,1382,14200,8,,,,,,,,
28,1226,14833,8,,,,,,,,
27,1168,17000,8,,,,,,,,
31,1330,16126,8,,,,,,,,
25,1128,19500,8,,,,,,,,
31,1313,19000,8,,,,,,,,
28,1253,16800,8,,,,,,,,
26,1149,19884,8,,,,,,,,
27,1210,21000,8,,,,,,,,
22,1038,22589,8,,,,,,,,
20,992,20000,8,,,,,,,,
32,1419,13500,8,,,,,,,,
23,1047,27000,8,,,,,,,,
21,1010,19972.5,8,,,,,,,,
34,1500,26000,8,,,,,,,,
20,885,27000,8,,,,,,,,
21,986,19553,8,,,,,,,,
18,903,21500,8,,,,,,,,
22,1014,24894,8,,,,,,,,
19,934,27000,8,,,,,,,,
23,1103,21250,8,,,,,,,,
27,1218,22500,8,,,,,,,,
22,995,22746.5,8,,,,,,,,
20,932,26865.5,8,,,,,,,,
29,1300,23231.5,8,,,,,,,,
18,896,26000,8,,,,,,,,
22,1017,28500,8,,,,,,,,
27,1185,23370,8,,,,,,,,
27,1234,26500,8,,,,,,,,
25,1135,25000,8,,,,,,,,
32,1454,9788,8,,,,,,,,
24,1110,27000,8,,,,,,,,
25,1115,15998,8,,,,,,,,
28,1243,22750,8,,,,,,,,
21,990,17501,8,,,,,,,,
25,1152,25000,8,,,,,,,,
21,1009,21500,8,,,,,,,,
23,1038,15628,8,,,,,,,,
29,1360,13749.5,8,,,,,,,,
22,1024,16666,8,,,,,,,,
25,1109,25750,8,,,,,,,,
21,984,17881,8,,,,,,,,
21,970,25000,8,,,,,,,,
26,1151,39500,8,,,,,,,,
31,1380,21500,8,,,,,,,,
27,1261,16500,8,,,,,,,,
26,1175,24954,8,,,,,,,,
20,955,16255,7,,,,,,,,
23,1055,21500,7,,,,,,,,
23,1089,21187.5,7,,,,,,,,
